s[0],s[1],s[2],s[3],s[4],s[5],s[6],s[7],s[8],Move
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,2,2,1,0,8
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,5
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,2,2,1,0,8
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,3
2,0,0,1,1,2,0,0,0,1
2,1,0,1,1,2,0,2,0,6
2,1,2,1,1,2,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,2,2,0,0,0,0,5
1,2,0,2,2,1,0,0,0,7
1,2,0,2,2,1,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,0,2,1,1,0,0,0,6
2,0,2,2,1,1,1,0,0,1
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,3
1,0,0,1,2,2,2,0,0,2
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,5
1,0,0,0,2,1,2,0,0,2
1,2,1,0,2,1,2,0,0,7
1,2,1,0,2,1,2,1,2,3
2,0,0,0,0,0,0,0,0,4
2,0,0,0,1,2,0,0,0,6
2,0,2,0,1,2,1,0,0,1
2,1,2,0,1,2,1,2,0,8
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,7
2,0,0,0,1,0,2,1,0,3
2,2,0,1,1,0,2,1,0,2
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,0,0,2,0,6
1,0,0,2,2,0,1,2,0,1
1,1,2,2,2,0,1,2,0,5
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,2,2,1,0,8
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,1
2,1,1,1,1,2,2,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,2,2,2,2,1,1,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,2,2,1,0,8
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,3
2,0,0,1,1,2,0,0,0,2
2,0,1,1,1,2,2,0,0,1
2,1,1,1,1,2,2,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,2,2,0,0,0,0,5
1,0,2,2,2,1,0,0,0,6
1,2,2,2,2,1,1,0,0,7
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,0,2,1,2,5
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,8
0,0,0,0,0,0,0,0,0,2
2,0,1,0,0,0,0,0,0,4
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,2,0,0,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,7
2,2,0,0,1,0,0,1,0,2
2,2,1,0,1,0,2,1,0,3
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,0,0,2,0,1
1,1,2,0,2,0,0,2,0,6
1,1,2,2,2,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,7
2,0,0,0,1,0,2,1,0,3
2,2,0,1,1,0,2,1,0,2
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,0,0,2,0,6
1,0,0,2,2,0,1,2,0,1
1,1,2,2,2,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,7
2,2,0,0,1,0,0,1,0,2
2,2,1,0,1,0,2,1,0,3
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,0,0,2,0,1
1,1,2,0,2,0,0,2,0,6
1,1,2,2,2,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,3
2,1,0,1,1,2,0,2,0,2
2,1,1,1,1,2,2,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,2,2,0,0,1,0,5
1,2,2,2,2,1,0,1,0,6
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,0,2,1,2,5
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,8
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,3
2,1,0,1,1,2,0,2,0,2
2,1,1,1,1,2,2,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,2,2,0,0,1,0,5
1,2,2,2,2,1,0,1,0,6
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,3
2,1,0,1,1,2,0,2,0,6
2,1,2,1,1,2,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,2,2,0,0,1,0,5
1,2,0,2,2,1,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,1
2,1,1,1,1,2,2,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,2,2,2,2,1,1,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,7
2,2,0,0,1,0,0,1,0,2
2,2,1,0,1,0,2,1,0,3
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,0,0,2,0,1
1,1,2,0,2,0,0,2,0,6
1,1,2,2,2,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,0,2,1,1,0,0,0,6
2,0,2,2,1,1,1,0,0,1
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,3
1,0,0,1,2,2,2,0,0,2
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,6
2,1,2,0,1,0,1,2,0,3
2,1,2,1,1,2,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,0,2,1,0,2
1,2,1,2,2,0,2,1,0,5
0,0,0,0,0,0,0,0,0,2
2,0,1,0,0,0,0,0,0,4
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,1
2,1,1,1,1,2,2,2,0,8
0,0,2,0,0,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,2,2,2,2,1,1,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,5
1,0,0,0,2,1,2,0,0,2
1,2,1,0,2,1,2,0,0,7
1,2,1,0,2,1,2,1,2,3
2,0,0,0,0,0,0,0,0,4
2,0,0,0,1,2,0,0,0,6
2,0,2,0,1,2,1,0,0,1
2,1,2,0,1,2,1,2,0,8
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,6
2,1,2,0,1,0,1,2,0,5
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,0,2,1,0,2
1,2,1,0,2,2,2,1,0,3
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,6
2,1,2,0,1,0,1,2,0,3
2,1,2,1,1,2,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,0,2,1,0,2
1,2,1,2,2,0,2,1,0,5
0,0,0,0,0,0,0,0,0,2
2,0,1,0,0,0,0,0,0,4
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,2,0,0,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,2,2,1,0,8
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,5
2,0,2,0,1,1,0,0,0,1
2,1,2,2,1,1,0,0,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,0,2,2,0,0,0,2
1,2,1,0,2,2,0,0,0,3
1,2,1,1,2,2,2,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,0,2,1,2,5
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,8
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,2,2,1,0,8
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,2
2,0,1,0,1,0,2,0,0,3
2,0,1,1,1,2,2,0,0,7
2,2,1,1,1,2,2,1,0,8
0,0,0,0,2,0,0,0,0,0
1,0,2,0,2,0,0,0,0,6
1,0,2,2,2,0,1,0,0,5
1,0,2,2,2,1,1,2,0,1
2,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,2,0,0,3
2,0,0,1,1,0,2,2,0,5
0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,2
1,2,1,0,2,0,0,0,0,3
1,2,1,1,2,0,2,0,0,7
1,2,1,1,2,0,2,1,2,5
2,0,0,0,0,0,0,0,0,4
2,0,2,0,1,0,0,0,0,1
2,1,2,2,1,0,0,0,0,6
2,1,2,2,1,0,1,2,0,8
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
0,0,0,0,2,0,0,0,0,0
1,2,0,0,2,0,0,0,0,7
1,2,0,0,2,2,0,1,0,3
1,2,0,1,2,2,2,1,0,2
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,3
2,0,0,1,1,2,0,0,0,2
2,0,1,1,1,2,2,0,0,1
2,1,1,1,1,2,2,2,0,8
0,0,0,0,2,0,0,0,0,0
1,0,0,2,2,0,0,0,0,5
1,0,2,2,2,1,0,0,0,6
1,2,2,2,2,1,1,0,0,7
0,0,0,0,0,0,0,0,0,4
2,0,0,0,1,0,0,0,0,1
2,1,0,0,1,0,0,2,0,5
2,1,0,2,1,1,0,2,0,6
2,1,2,2,1,1,1,2,0,8
